atm_id,is_known_hotspot
ATM-00210,False
ATM-00281,False
ATM-00034,True
ATM-00211,False
ATM-00094,False
ATM-00085,False
ATM-00330,False
ATM-00095,False
ATM-00267,False
ATM-00127,False
ATM-00010,True
ATM-00362,False
ATM-00057,True
ATM-00073,False
ATM-00133,False
ATM-00043,True
ATM-00279,False
ATM-00377,False
ATM-00232,False
ATM-00386,False
ATM-00078,False
ATM-00016,True
ATM-00392,False
ATM-00272,False
ATM-00001,True
ATM-00397,False
ATM-00115,False
ATM-00226,False
ATM-00263,False
ATM-00105,False
ATM-00396,False
ATM-00194,False
ATM-00262,False
ATM-00058,True
ATM-00233,False
ATM-00117,False
ATM-00114,False
ATM-00343,False
ATM-00159,False
ATM-00142,False
ATM-00382,False
ATM-00056,True
ATM-00077,False
ATM-00026,True
ATM-00083,False
ATM-00383,False
ATM-00149,False
ATM-00182,False
ATM-00023,True
ATM-00174,False
ATM-00047,True
ATM-00322,False
ATM-00339,False
ATM-00071,False
ATM-00375,False
ATM-00040,True
ATM-00224,False
ATM-00173,False
ATM-00031,True
ATM-00153,False
ATM-00125,False
ATM-00295,False
ATM-00256,False
ATM-00079,False
ATM-00102,False
ATM-00032,True
ATM-00353,False
ATM-00269,False
ATM-00395,False
ATM-00074,False
ATM-00321,False
ATM-00141,False
ATM-00006,True
ATM-00046,True
ATM-00389,False
ATM-00247,False
ATM-00228,False
ATM-00370,False
ATM-00177,False
ATM-00290,False
ATM-00004,True
ATM-00019,True
ATM-00203,False
ATM-00251,False
ATM-00275,False
ATM-00064,True
ATM-00249,False
ATM-00302,False
ATM-00109,False
ATM-00091,False
ATM-00234,False
ATM-00336,False
ATM-00119,False
ATM-00221,False
ATM-00181,False
ATM-00315,False
ATM-00374,False
ATM-00381,False
ATM-00240,False
ATM-00076,False
ATM-00248,False
ATM-00111,False
ATM-00017,True
ATM-00067,True
ATM-00154,False
ATM-00008,True
ATM-00020,True
ATM-00138,False
ATM-00356,False
ATM-00350,False
ATM-00132,False
ATM-00388,False
ATM-00293,False
ATM-00387,False
ATM-00298,False
ATM-00061,True
ATM-00080,False
ATM-00286,False
ATM-00306,False
ATM-00282,False
ATM-00158,False
ATM-00110,False
ATM-00018,True
ATM-00348,False
ATM-00025,True
ATM-00176,False
ATM-00352,False
ATM-00333,False
ATM-00168,False
ATM-00246,False
ATM-00312,False
ATM-00146,False
ATM-00259,False
ATM-00178,False
ATM-00120,False
ATM-00195,False
ATM-00230,False
ATM-00266,False
ATM-00219,False
ATM-00308,False
ATM-00037,True
ATM-00140,False
ATM-00292,False
