atm_id,bank_name,district,latitude,longitude
ATM-00210,Bank of Baroda,New Delhi,28.57619,77.20264
ATM-00281,Axis Bank,Lucknow,26.84899,80.99491
ATM-00034,Axis Bank,Jaipur,26.86721,75.75244
ATM-00211,ICICI Bank,Pune,18.50614,73.88651
ATM-00094,Punjab National Bank,Hyderabad,17.40775,78.4795
ATM-00085,Kotak Mahindra Bank,Pune,18.52337,73.82868
ATM-00330,Bank of Baroda,Noida,28.57347,77.38318
ATM-00095,Bank of Baroda,New Delhi,28.64888,77.20666
ATM-00267,Axis Bank,Jaipur,26.94561,75.75246
ATM-00127,HDFC Bank,Pune,18.51269,73.86682
ATM-00010,Kotak Mahindra Bank,Chennai,13.11887,80.2846
ATM-00362,Punjab National Bank,Ahmedabad,22.97572,72.58308
ATM-00057,State Bank of India,New Delhi,28.64506,77.23507
ATM-00073,State Bank of India,New Delhi,28.59646,77.23607
ATM-00133,Punjab National Bank,Hyderabad,17.43557,78.46581
ATM-00043,Punjab National Bank,New Delhi,28.58049,77.24913
ATM-00279,HDFC Bank,Chennai,13.09803,80.26434
ATM-00377,State Bank of India,Pune,18.54851,73.84753
ATM-00232,Kotak Mahindra Bank,Ahmedabad,23.03487,72.56155
ATM-00386,HDFC Bank,Pune,18.52475,73.85736
ATM-00078,State Bank of India,Mumbai,19.04318,72.82923
ATM-00016,Axis Bank,Noida,28.57554,77.38699
ATM-00392,Axis Bank,New Delhi,28.58976,77.16207
ATM-00272,State Bank of India,Bengaluru Urban,12.94309,77.565
ATM-00001,Punjab National Bank,Pune,18.50879,73.87334
ATM-00397,Kotak Mahindra Bank,Pune,18.50547,73.88503
ATM-00115,HDFC Bank,Chennai,13.05696,80.22247
ATM-00226,Bank of Baroda,New Delhi,28.58124,77.17901
ATM-00263,Axis Bank,Lucknow,26.84927,80.92379
ATM-00105,Axis Bank,Pune,18.47164,73.83271
ATM-00396,Axis Bank,New Delhi,28.58916,77.25822
ATM-00194,Axis Bank,Mumbai,19.06745,72.90782
ATM-00262,Bank of Baroda,Chennai,13.11751,80.27767
ATM-00058,Bank of Baroda,Chennai,13.10651,80.24051
ATM-00233,State Bank of India,Bengaluru Urban,13.01696,77.6262
ATM-00117,ICICI Bank,Jaipur,26.90603,75.80218
ATM-00114,HDFC Bank,Chennai,13.04659,80.31921
ATM-00343,State Bank of India,Mumbai,19.09966,72.83268
ATM-00159,Kotak Mahindra Bank,Lucknow,26.87895,80.98971
ATM-00142,Axis Bank,Mumbai,19.08974,72.87058
ATM-00382,ICICI Bank,Chennai,13.04848,80.22645
ATM-00056,HDFC Bank,Mumbai,19.06085,72.86441
ATM-00077,Punjab National Bank,Pune,18.49291,73.84116
ATM-00026,HDFC Bank,Lucknow,26.87683,80.98906
ATM-00083,State Bank of India,Noida,28.57173,77.35787
ATM-00383,ICICI Bank,Bengaluru Urban,13.01281,77.62653
ATM-00149,Kotak Mahindra Bank,New Delhi,28.61884,77.20053
ATM-00182,Axis Bank,Pune,18.56543,73.85158
ATM-00023,ICICI Bank,Lucknow,26.8566,80.93485
ATM-00174,Bank of Baroda,Chennai,13.10294,80.25025
ATM-00047,Punjab National Bank,Ahmedabad,23.05408,72.53517
ATM-00322,HDFC Bank,Ahmedabad,23.04533,72.57563
ATM-00339,Axis Bank,New Delhi,28.57721,77.24367
ATM-00071,Punjab National Bank,Pune,18.49191,73.86855
ATM-00375,ICICI Bank,Pune,18.54977,73.86117
ATM-00040,ICICI Bank,Ahmedabad,22.98194,72.53811
ATM-00224,Kotak Mahindra Bank,Bengaluru Urban,12.95402,77.57893
ATM-00173,Bank of Baroda,Hyderabad,17.38353,78.45226
ATM-00031,Axis Bank,Ahmedabad,22.98831,72.58475
ATM-00153,State Bank of India,Bengaluru Urban,12.935,77.58285
ATM-00125,HDFC Bank,Bengaluru Urban,12.9244,77.54121
ATM-00295,HDFC Bank,Mumbai,19.07672,72.90848
ATM-00256,HDFC Bank,Ahmedabad,23.0106,72.53069
ATM-00079,Kotak Mahindra Bank,Jaipur,26.92546,75.81843
ATM-00102,Kotak Mahindra Bank,Lucknow,26.87503,80.92156
ATM-00032,ICICI Bank,Ahmedabad,22.99456,72.56843
ATM-00353,Bank of Baroda,Lucknow,26.81397,80.979
ATM-00269,Bank of Baroda,New Delhi,28.61907,77.23468
ATM-00395,Kotak Mahindra Bank,Noida,28.49822,77.42734
ATM-00074,State Bank of India,Pune,18.47924,73.87953
ATM-00321,ICICI Bank,Jaipur,26.88777,75.78271
ATM-00141,HDFC Bank,Lucknow,26.88807,80.92487
ATM-00006,State Bank of India,Noida,28.53064,77.41524
ATM-00046,Punjab National Bank,Jaipur,26.92037,75.81517
ATM-00389,Axis Bank,Pune,18.5373,73.82415
ATM-00247,Kotak Mahindra Bank,Mumbai,19.03826,72.84123
ATM-00228,Kotak Mahindra Bank,Lucknow,26.88345,80.99338
ATM-00370,State Bank of India,Hyderabad,17.34404,78.48347
ATM-00177,Axis Bank,Bengaluru Urban,13.00411,77.62036
ATM-00290,Kotak Mahindra Bank,Lucknow,26.84381,80.91335
ATM-00004,Kotak Mahindra Bank,Mumbai,19.07662,72.84471
ATM-00019,Bank of Baroda,Jaipur,26.87373,75.77371
ATM-00203,Axis Bank,Noida,28.56689,77.40633
ATM-00251,State Bank of India,Noida,28.58063,77.40579
ATM-00275,State Bank of India,Lucknow,26.87172,80.983
ATM-00064,ICICI Bank,Ahmedabad,23.01051,72.54488
ATM-00249,State Bank of India,Chennai,13.10548,80.3113
ATM-00302,Punjab National Bank,New Delhi,28.58512,77.24046
ATM-00109,Axis Bank,Mumbai,19.04954,72.82531
ATM-00091,HDFC Bank,Pune,18.54102,73.88134
ATM-00234,Punjab National Bank,Pune,18.5543,73.86946
ATM-00336,Punjab National Bank,Chennai,13.125,80.31321
ATM-00119,Punjab National Bank,Hyderabad,17.41585,78.48334
ATM-00221,ICICI Bank,Mumbai,19.11921,72.83623
ATM-00181,Kotak Mahindra Bank,Jaipur,26.94681,75.7584
ATM-00315,State Bank of India,Ahmedabad,23.06236,72.58118
ATM-00374,Axis Bank,New Delhi,28.59777,77.17229
ATM-00381,Kotak Mahindra Bank,Bengaluru Urban,12.99724,77.61786
ATM-00240,ICICI Bank,Noida,28.57157,77.43993
ATM-00076,ICICI Bank,Pune,18.49932,73.89585
ATM-00248,Kotak Mahindra Bank,Mumbai,19.04315,72.84765
ATM-00111,Punjab National Bank,Jaipur,26.8894,75.82211
ATM-00017,Punjab National Bank,New Delhi,28.63574,77.24395
ATM-00067,Axis Bank,Bengaluru Urban,12.95889,77.57452
ATM-00154,HDFC Bank,Pune,18.56918,73.81021
ATM-00008,Kotak Mahindra Bank,Ahmedabad,23.00908,72.58064
ATM-00020,Punjab National Bank,Hyderabad,17.43752,78.49327
ATM-00138,Axis Bank,Noida,28.52282,77.39088
ATM-00356,Kotak Mahindra Bank,Ahmedabad,23.01609,72.58813
ATM-00350,State Bank of India,Chennai,13.03836,80.27251
ATM-00132,Kotak Mahindra Bank,Ahmedabad,23.03168,72.61795
ATM-00388,HDFC Bank,Chennai,13.09477,80.25997
ATM-00293,ICICI Bank,Ahmedabad,23.0222,72.58899
ATM-00387,HDFC Bank,Chennai,13.04939,80.29182
ATM-00298,State Bank of India,Pune,18.53275,73.90775
ATM-00061,Bank of Baroda,Hyderabad,17.40066,78.4773
ATM-00080,Axis Bank,Pune,18.49882,73.85702
ATM-00286,State Bank of India,Bengaluru Urban,12.96732,77.61626
ATM-00306,Punjab National Bank,Ahmedabad,23.00569,72.59589
ATM-00282,HDFC Bank,Bengaluru Urban,12.94521,77.58333
ATM-00158,Kotak Mahindra Bank,Mumbai,19.11882,72.88144
ATM-00110,State Bank of India,New Delhi,28.6487,77.24721
ATM-00018,Bank of Baroda,Chennai,13.12235,80.28052
ATM-00348,Kotak Mahindra Bank,Pune,18.49405,73.81508
ATM-00025,Bank of Baroda,Noida,28.51639,77.38238
ATM-00176,State Bank of India,Pune,18.50908,73.84451
ATM-00352,Kotak Mahindra Bank,Pune,18.4744,73.85905
ATM-00333,HDFC Bank,New Delhi,28.57085,77.23644
ATM-00168,Axis Bank,Noida,28.55663,77.36105
ATM-00246,ICICI Bank,Mumbai,19.11746,72.8968
ATM-00312,ICICI Bank,Lucknow,26.82185,80.90969
ATM-00146,Axis Bank,New Delhi,28.60059,77.20322
ATM-00259,HDFC Bank,Mumbai,19.08308,72.82168
ATM-00178,Axis Bank,Pune,18.55125,73.85635
ATM-00120,Bank of Baroda,Bengaluru Urban,12.98663,77.5948
ATM-00195,Kotak Mahindra Bank,Jaipur,26.91719,75.83231
ATM-00230,Axis Bank,Ahmedabad,22.98991,72.5242
ATM-00266,HDFC Bank,New Delhi,28.65107,77.18877
ATM-00219,HDFC Bank,Mumbai,19.05532,72.85879
ATM-00308,HDFC Bank,Bengaluru Urban,12.98897,77.55032
ATM-00037,Axis Bank,Jaipur,26.94212,75.79111
ATM-00140,HDFC Bank,Noida,28.50065,77.3548
ATM-00292,ICICI Bank,Chennai,13.09419,80.23447
ATM-00156,HDFC Bank,Ahmedabad,23.03661,72.52875
ATM-00197,Punjab National Bank,Bengaluru Urban,13.00167,77.60684
ATM-00285,Axis Bank,Noida,28.50407,77.36793
ATM-00060,Axis Bank,Ahmedabad,22.97207,72.57076
ATM-00112,Kotak Mahindra Bank,Hyderabad,17.34405,78.53814
ATM-00166,Kotak Mahindra Bank,Chennai,13.06064,80.28535
ATM-00364,Punjab National Bank,New Delhi,28.62722,77.23947
ATM-00007,Bank of Baroda,Ahmedabad,23.04806,72.52277
ATM-00334,HDFC Bank,Mumbai,19.03537,72.83084
ATM-00276,HDFC Bank,New Delhi,28.5707,77.18063
ATM-00151,Axis Bank,Ahmedabad,22.98592,72.55271
ATM-00011,Axis Bank,Pune,18.49413,73.86213
ATM-00193,Bank of Baroda,Noida,28.52326,77.38073
ATM-00104,HDFC Bank,Pune,18.53491,73.8402
ATM-00082,State Bank of India,Jaipur,26.93125,75.74674
ATM-00317,Punjab National Bank,Lucknow,26.80442,80.9689
ATM-00399,Punjab National Bank,Lucknow,26.87211,80.9369
ATM-00376,Kotak Mahindra Bank,Ahmedabad,23.03613,72.55662
ATM-00209,ICICI Bank,Noida,28.5069,77.36923
ATM-00287,HDFC Bank,Jaipur,26.90544,75.77032
ATM-00169,State Bank of India,Pune,18.54032,73.81368
ATM-00354,State Bank of India,Mumbai,19.0718,72.88248
ATM-00090,Axis Bank,Jaipur,26.93832,75.78624
ATM-00378,State Bank of India,Chennai,13.10143,80.2825
ATM-00164,Bank of Baroda,Noida,28.4932,77.42522
ATM-00148,Axis Bank,Mumbai,19.0508,72.86865
ATM-00229,ICICI Bank,Hyderabad,17.39575,78.48579
ATM-00093,Kotak Mahindra Bank,Pune,18.47006,73.85608
ATM-00070,HDFC Bank,Ahmedabad,23.06116,72.54599
ATM-00124,HDFC Bank,Mumbai,19.08169,72.84758
ATM-00097,Axis Bank,New Delhi,28.63516,77.21235
ATM-00144,Bank of Baroda,Lucknow,26.81624,80.94812
ATM-00327,Punjab National Bank,Hyderabad,17.34613,78.48495
ATM-00098,Kotak Mahindra Bank,Pune,18.52032,73.85997
ATM-00239,HDFC Bank,Mumbai,19.02549,72.85002
ATM-00069,ICICI Bank,Mumbai,19.06374,72.85482
ATM-00024,Axis Bank,Lucknow,26.88257,80.95177
ATM-00038,Bank of Baroda,Lucknow,26.82657,80.99816
ATM-00145,State Bank of India,Mumbai,19.0975,72.91261
ATM-00123,HDFC Bank,Noida,28.5044,77.41621
ATM-00183,HDFC Bank,Ahmedabad,22.98482,72.60842
ATM-00068,Axis Bank,Bengaluru Urban,12.9691,77.61242
ATM-00199,HDFC Bank,Bengaluru Urban,12.94218,77.62215
ATM-00325,HDFC Bank,Pune,18.49342,73.81452
ATM-00220,Punjab National Bank,Chennai,13.12449,80.29253
ATM-00318,State Bank of India,Pune,18.53573,73.87959
ATM-00196,Bank of Baroda,Jaipur,26.88229,75.76647
ATM-00126,Kotak Mahindra Bank,Lucknow,26.84184,80.91937
ATM-00147,ICICI Bank,Hyderabad,17.43784,78.47338
ATM-00372,State Bank of India,Lucknow,26.83779,80.96367
ATM-00087,State Bank of India,Chennai,13.11133,80.27009
ATM-00337,Punjab National Bank,Ahmedabad,23.05864,72.53574
ATM-00341,Kotak Mahindra Bank,Bengaluru Urban,12.93963,77.56955
ATM-00338,Axis Bank,Chennai,13.09605,80.24156
ATM-00355,Bank of Baroda,New Delhi,28.63209,77.21467
ATM-00335,Punjab National Bank,Pune,18.49661,73.86203
ATM-00303,Punjab National Bank,Lucknow,26.86288,80.96698
ATM-00184,HDFC Bank,Chennai,13.09039,80.31571
ATM-00204,ICICI Bank,Jaipur,26.88134,75.80613
ATM-00284,State Bank of India,Hyderabad,17.39243,78.46038
ATM-00212,Bank of Baroda,Noida,28.58979,77.40916
ATM-00283,Bank of Baroda,Bengaluru Urban,12.99814,77.62337
ATM-00130,Bank of Baroda,Hyderabad,17.43151,78.45656
ATM-00039,Axis Bank,Hyderabad,17.39953,78.48764
ATM-00012,State Bank of India,Mumbai,19.06327,72.82309
ATM-00326,ICICI Bank,Lucknow,26.88273,80.91976
ATM-00186,ICICI Bank,Ahmedabad,23.04114,72.60002
ATM-00223,ICICI Bank,Hyderabad,17.43911,78.51573
ATM-00113,ICICI Bank,Hyderabad,17.34678,78.47315
ATM-00180,Kotak Mahindra Bank,New Delhi,28.62584,77.25581
ATM-00328,Bank of Baroda,Pune,18.47315,73.88257
ATM-00300,Axis Bank,Chennai,13.07197,80.25413
ATM-00118,State Bank of India,Ahmedabad,22.97509,72.5717
ATM-00369,Axis Bank,Chennai,13.09217,80.22425
ATM-00278,Bank of Baroda,Ahmedabad,23.00251,72.56111
ATM-00385,Kotak Mahindra Bank,Bengaluru Urban,12.94616,77.61333
ATM-00288,Kotak Mahindra Bank,Hyderabad,17.36009,78.52638
ATM-00363,ICICI Bank,Bengaluru Urban,12.99192,77.63884
ATM-00165,ICICI Bank,Pune,18.53949,73.89103
ATM-00254,Punjab National Bank,Pune,18.47687,73.9049
ATM-00137,Axis Bank,Lucknow,26.82262,80.90222
ATM-00155,ICICI Bank,Bengaluru Urban,12.93335,77.63837
ATM-00200,State Bank of India,New Delhi,28.56023,77.16478
ATM-00198,HDFC Bank,Noida,28.52948,77.34043
ATM-00393,Punjab National Bank,Pune,18.50683,73.88252
ATM-00003,Punjab National Bank,Pune,18.55612,73.8168
ATM-00205,Axis Bank,Mumbai,19.10552,72.91256
ATM-00116,ICICI Bank,Chennai,13.06713,80.26484
ATM-00235,Punjab National Bank,Mumbai,19.07929,72.86734
ATM-00238,State Bank of India,Noida,28.54371,77.38256
ATM-00027,Bank of Baroda,Noida,28.509,77.4086
ATM-00121,HDFC Bank,Jaipur,26.91059,75.83986
ATM-00358,Kotak Mahindra Bank,Bengaluru Urban,12.99753,77.60909
ATM-00225,Kotak Mahindra Bank,New Delhi,28.57036,77.21124
ATM-00361,Bank of Baroda,Mumbai,19.0639,72.90943
ATM-00379,Kotak Mahindra Bank,New Delhi,28.58079,77.20102
ATM-00351,Kotak Mahindra Bank,Noida,28.51611,77.39489
ATM-00380,Kotak Mahindra Bank,Jaipur,26.91583,75.80181
ATM-00128,State Bank of India,Bengaluru Urban,13.0191,77.55634
ATM-00075,Axis Bank,Noida,28.49793,77.4332
ATM-00323,Punjab National Bank,Bengaluru Urban,12.99389,77.63807
ATM-00030,Kotak Mahindra Bank,Noida,28.55386,77.36057
ATM-00084,HDFC Bank,Hyderabad,17.39534,78.47689
ATM-00390,Punjab National Bank,Jaipur,26.92779,75.8126
ATM-00108,Bank of Baroda,Bengaluru Urban,12.94454,77.55455
ATM-00250,Punjab National Bank,Chennai,13.12352,80.30703
ATM-00297,Punjab National Bank,Chennai,13.11559,80.27744
ATM-00134,ICICI Bank,Chennai,13.11892,80.30144
ATM-00245,State Bank of India,Jaipur,26.91995,75.75001
ATM-00185,Bank of Baroda,Pune,18.51179,73.88709
ATM-00291,Punjab National Bank,Lucknow,26.86452,80.93846
ATM-00045,HDFC Bank,Noida,28.51842,77.36407
ATM-00368,ICICI Bank,Mumbai,19.03506,72.90244
ATM-00066,Axis Bank,Jaipur,26.88441,75.80976
ATM-00086,ICICI Bank,Bengaluru Urban,12.95255,77.55718
ATM-00243,ICICI Bank,New Delhi,28.56227,77.25813
ATM-00187,Kotak Mahindra Bank,Ahmedabad,22.97027,72.56828
ATM-00160,Punjab National Bank,Hyderabad,17.35075,78.49934
ATM-00013,HDFC Bank,Chennai,13.03848,80.30917
ATM-00036,Punjab National Bank,Noida,28.58278,77.38548
ATM-00029,Bank of Baroda,Jaipur,26.91201,75.75172
ATM-00171,Kotak Mahindra Bank,Pune,18.48493,73.81734
ATM-00143,State Bank of India,New Delhi,28.60193,77.19312
ATM-00319,Axis Bank,Hyderabad,17.42171,78.46164
ATM-00273,HDFC Bank,Mumbai,19.08841,72.8333
ATM-00222,HDFC Bank,Pune,18.52221,73.87895
ATM-00096,Bank of Baroda,Chennai,13.06539,80.28055
ATM-00052,HDFC Bank,Lucknow,26.8242,80.96096
ATM-00241,Punjab National Bank,Ahmedabad,23.05497,72.61813
ATM-00299,Bank of Baroda,Pune,18.56586,73.84274
ATM-00305,State Bank of India,Jaipur,26.87963,75.76449
ATM-00179,Bank of Baroda,Ahmedabad,23.01496,72.60158
ATM-00042,State Bank of India,Chennai,13.08352,80.23274
ATM-00311,Bank of Baroda,Chennai,13.07413,80.23357
ATM-00207,ICICI Bank,Lucknow,26.80142,80.94295
ATM-00255,Axis Bank,Bengaluru Urban,12.93068,77.5877
ATM-00332,HDFC Bank,Bengaluru Urban,12.93714,77.54351
ATM-00005,HDFC Bank,New Delhi,28.64398,77.19617
ATM-00257,HDFC Bank,Jaipur,26.95397,75.8295
ATM-00359,Bank of Baroda,Bengaluru Urban,12.92836,77.55649
ATM-00101,Axis Bank,New Delhi,28.58995,77.16239
ATM-00227,State Bank of India,Hyderabad,17.41735,78.51477
ATM-00342,Punjab National Bank,Chennai,13.07649,80.2291
ATM-00214,Kotak Mahindra Bank,Bengaluru Urban,13.01536,77.5466
ATM-00172,Bank of Baroda,Ahmedabad,23.03877,72.57793
ATM-00099,ICICI Bank,Bengaluru Urban,12.94069,77.59998
ATM-00216,Kotak Mahindra Bank,Ahmedabad,22.98214,72.5966
ATM-00062,Axis Bank,Mumbai,19.0801,72.88989
ATM-00048,Kotak Mahindra Bank,Jaipur,26.89167,75.76199
ATM-00033,ICICI Bank,Jaipur,26.90591,75.77414
ATM-00268,State Bank of India,Noida,28.55483,77.38977
ATM-00201,Axis Bank,Noida,28.54353,77.42995
ATM-00357,Kotak Mahindra Bank,Ahmedabad,22.973,72.59655
ATM-00028,Axis Bank,Chennai,13.08529,80.24045
ATM-00313,ICICI Bank,Bengaluru Urban,13.01182,77.58091
ATM-00231,Bank of Baroda,Lucknow,26.80037,80.93554
ATM-00261,Bank of Baroda,Chennai,13.05386,80.26079
ATM-00289,Axis Bank,Hyderabad,17.43635,78.46696
ATM-00163,Bank of Baroda,Chennai,13.03961,80.28065
ATM-00371,ICICI Bank,Bengaluru Urban,12.97992,77.54028
ATM-00139,Kotak Mahindra Bank,New Delhi,28.56513,77.21917
ATM-00063,ICICI Bank,Pune,18.54881,73.83071
ATM-00136,Punjab National Bank,Jaipur,26.912,75.7679
ATM-00129,HDFC Bank,Noida,28.56272,77.4187
ATM-00009,Punjab National Bank,Lucknow,26.87486,80.91273
ATM-00065,State Bank of India,Lucknow,26.83794,80.98777
ATM-00301,Bank of Baroda,Lucknow,26.81874,80.97326
ATM-00015,ICICI Bank,Ahmedabad,23.00035,72.57353
ATM-00157,Punjab National Bank,Noida,28.52301,77.34389
ATM-00041,State Bank of India,Bengaluru Urban,12.9241,77.54703
ATM-00367,Kotak Mahindra Bank,Chennai,13.07768,80.26911
ATM-00324,Kotak Mahindra Bank,Bengaluru Urban,12.98673,77.55925
ATM-00217,Bank of Baroda,Chennai,13.07653,80.23221
ATM-00280,Kotak Mahindra Bank,Pune,18.49068,73.84532
ATM-00347,Kotak Mahindra Bank,Chennai,13.04798,80.30758
ATM-00237,HDFC Bank,Bengaluru Urban,12.99861,77.60381
ATM-00208,HDFC Bank,Lucknow,26.89466,80.90207
ATM-00213,State Bank of India,Mumbai,19.02762,72.83556
ATM-00296,Bank of Baroda,Noida,28.51521,77.36443
ATM-00365,State Bank of India,Noida,28.56525,77.36608
ATM-00252,Axis Bank,New Delhi,28.63523,77.16407
ATM-00391,ICICI Bank,Jaipur,26.92452,75.8067
ATM-00366,Punjab National Bank,Chennai,13.11128,80.28003
ATM-00304,Axis Bank,Jaipur,26.9164,75.74961
ATM-00270,Punjab National Bank,Pune,18.52766,73.89144
ATM-00202,Kotak Mahindra Bank,Bengaluru Urban,12.97018,77.63526
ATM-00162,HDFC Bank,Mumbai,19.06623,72.90524
ATM-00044,Punjab National Bank,Bengaluru Urban,12.92099,77.57376
ATM-00218,Kotak Mahindra Bank,Jaipur,26.88783,75.74833
ATM-00191,Punjab National Bank,Bengaluru Urban,12.9655,77.61191
ATM-00310,State Bank of India,New Delhi,28.6135,77.23386
ATM-00260,Kotak Mahindra Bank,Pune,18.48694,73.90573
ATM-00106,Axis Bank,Noida,28.53868,77.38663
ATM-00054,Kotak Mahindra Bank,Noida,28.53352,77.42609
ATM-00002,Punjab National Bank,Mumbai,19.03461,72.8327
ATM-00050,ICICI Bank,Mumbai,19.07712,72.88141
ATM-00081,HDFC Bank,Pune,18.49362,73.89077
ATM-00206,Bank of Baroda,Chennai,13.10257,80.23772
ATM-00035,HDFC Bank,Chennai,13.12839,80.22033
ATM-00264,Kotak Mahindra Bank,Lucknow,26.86133,80.93884
ATM-00092,Axis Bank,Jaipur,26.93545,75.74671
ATM-00340,Bank of Baroda,Noida,28.52157,77.40063
ATM-00053,Bank of Baroda,Lucknow,26.82795,80.90032
ATM-00346,State Bank of India,Jaipur,26.93124,75.82167
ATM-00265,Punjab National Bank,Chennai,13.05927,80.23362
ATM-00242,ICICI Bank,Ahmedabad,22.97751,72.55084
ATM-00014,Axis Bank,Bengaluru Urban,12.95695,77.57933
ATM-00316,Bank of Baroda,Noida,28.56911,77.39369
ATM-00089,ICICI Bank,Pune,18.49419,73.8709
ATM-00274,Bank of Baroda,Noida,28.58594,77.39746
ATM-00167,Kotak Mahindra Bank,New Delhi,28.6018,77.25305
ATM-00329,Kotak Mahindra Bank,Lucknow,26.83666,80.97566
ATM-00394,Kotak Mahindra Bank,New Delhi,28.58139,77.19096
ATM-00135,Kotak Mahindra Bank,Ahmedabad,23.02267,72.58678
ATM-00307,Punjab National Bank,Ahmedabad,23.01932,72.56308
ATM-00384,Punjab National Bank,Chennai,13.04243,80.27558
ATM-00320,HDFC Bank,Ahmedabad,22.98001,72.57037
ATM-00244,Punjab National Bank,Pune,18.54118,73.89695
ATM-00055,Kotak Mahindra Bank,New Delhi,28.60462,77.18322
ATM-00051,Axis Bank,Hyderabad,17.35246,78.46462
ATM-00175,ICICI Bank,Lucknow,26.88956,80.96562
ATM-00190,Axis Bank,Jaipur,26.92125,75.80122
ATM-00398,Axis Bank,Noida,28.57663,77.34423
ATM-00188,Bank of Baroda,Chennai,13.05017,80.23478
ATM-00170,Axis Bank,Jaipur,26.94751,75.75477
ATM-00059,ICICI Bank,Hyderabad,17.38367,78.52751
ATM-00049,HDFC Bank,New Delhi,28.58031,77.22163
ATM-00345,Bank of Baroda,Mumbai,19.07601,72.85946
ATM-00236,Punjab National Bank,Chennai,13.10259,80.25407
ATM-00253,State Bank of India,Mumbai,19.08579,72.8469
ATM-00022,ICICI Bank,Noida,28.54944,77.36278
ATM-00314,State Bank of India,Jaipur,26.94898,75.82931
ATM-00161,HDFC Bank,Chennai,13.03717,80.28127
ATM-00277,Kotak Mahindra Bank,Pune,18.54243,73.88856
ATM-00192,State Bank of India,Noida,28.54388,77.41558
ATM-00294,State Bank of India,Chennai,13.10995,80.29464
ATM-00344,Kotak Mahindra Bank,Lucknow,26.8737,80.95335
ATM-00258,Punjab National Bank,Mumbai,19.05341,72.83851
ATM-00309,Axis Bank,Lucknow,26.84107,80.90439
ATM-00150,HDFC Bank,Lucknow,26.82865,80.96106
ATM-00131,Kotak Mahindra Bank,Hyderabad,17.35142,78.50694
ATM-00152,Bank of Baroda,Mumbai,19.03007,72.82823
ATM-00360,Axis Bank,Jaipur,26.86811,75.8088
ATM-00100,Axis Bank,Noida,28.50155,77.43042
ATM-00373,HDFC Bank,Ahmedabad,23.04239,72.54751
ATM-00088,HDFC Bank,New Delhi,28.57349,77.16483
ATM-00331,Axis Bank,Mumbai,19.10336,72.83591
ATM-00215,Axis Bank,Noida,28.58651,77.35134
ATM-00122,Bank of Baroda,New Delhi,28.59302,77.23143
ATM-00400,Bank of Baroda,Pune,18.49938,73.90592
ATM-00021,ICICI Bank,Mumbai,19.04516,72.84682
ATM-00189,Punjab National Bank,Chennai,13.05734,80.25907
ATM-00072,State Bank of India,Jaipur,26.91309,75.75957
ATM-00107,Axis Bank,Ahmedabad,23.05824,72.56633
ATM-00271,Bank of Baroda,Mumbai,19.11672,72.84488
ATM-00349,Punjab National Bank,Jaipur,26.91437,75.74742
ATM-00103,Kotak Mahindra Bank,Pune,18.51499,73.86904
