transaction_id,complaint_id,from_account_id,to_account_id,amount,timestamp,hop_number
TXN-0000001,CMP-000001,ACC-000599,ACC-000072,2820.86,2026-06-27 15:31:53,1
TXN-0000002,CMP-000001,ACC-000072,ACC-001001,2708.87,2026-06-27 20:07:53,2
TXN-0000003,CMP-000001,ACC-001001,ACC-000110,2638.55,2026-06-27 21:07:53,3
TXN-0000004,CMP-000002,ACC-001005,ACC-000148,5275.99,2026-08-10 22:03:39,1
TXN-0000005,CMP-000002,ACC-000148,ACC-000054,4876.64,2026-08-11 04:00:39,2
TXN-0000006,CMP-000002,ACC-000054,ACC-000030,4720.97,2026-08-11 04:34:39,3
TXN-0000007,CMP-000003,ACC-000225,ACC-000207,2360.63,2026-06-03 19:47:09,1
TXN-0000008,CMP-000003,ACC-000207,ACC-001151,2268.8,2026-06-03 20:54:09,2
TXN-0000009,CMP-000003,ACC-001151,ACC-000003,2215.41,2026-06-03 21:51:09,3
TXN-0000010,CMP-000003,ACC-000003,ACC-000160,2131.2,2026-06-04 02:25:09,4
TXN-0000011,CMP-000004,ACC-000310,ACC-000143,11439.66,2026-07-25 06:24:08,1
TXN-0000012,CMP-000004,ACC-000143,ACC-000013,10632.36,2026-07-25 11:58:08,2
TXN-0000013,CMP-000004,ACC-000013,ACC-000007,9810.95,2026-07-25 15:31:08,3
TXN-0000014,CMP-000005,ACC-001026,ACC-000517,1335.6,2026-06-22 03:56:25,1
TXN-0000015,CMP-000005,ACC-000517,ACC-000328,1271.92,2026-06-22 08:17:25,2
TXN-0000016,CMP-000005,ACC-000328,ACC-001097,1219.36,2026-06-22 12:50:25,3
TXN-0000017,CMP-000006,ACC-000487,ACC-000428,1887.8,2026-08-13 16:31:21,1
TXN-0000018,CMP-000006,ACC-000428,ACC-000768,1809.42,2026-08-13 21:41:21,2
TXN-0000019,CMP-000006,ACC-000768,ACC-000050,1695.62,2026-08-14 00:59:21,3
TXN-0000020,CMP-000007,ACC-001150,ACC-000729,133478.34,2026-06-16 05:27:36,1
TXN-0000021,CMP-000007,ACC-000729,ACC-001072,128602.92,2026-06-16 07:21:36,2
TXN-0000022,CMP-000008,ACC-001052,ACC-000079,10238.64,2026-07-07 23:34:53,1
TXN-0000023,CMP-000009,ACC-000887,ACC-000154,16930.92,2026-08-18 02:30:54,1
TXN-0000024,CMP-000009,ACC-000154,ACC-000113,16757.98,2026-08-18 04:14:54,2
TXN-0000025,CMP-000010,ACC-000697,ACC-000048,1886.27,2026-07-07 20:09:44,1
TXN-0000026,CMP-000010,ACC-000048,ACC-000185,1747.55,2026-07-07 20:32:44,2
TXN-0000027,CMP-000010,ACC-000185,ACC-000187,1643.7,2026-07-08 01:03:44,3
TXN-0000028,CMP-000011,ACC-001084,ACC-000340,10442.32,2026-08-25 23:16:55,1
TXN-0000029,CMP-000011,ACC-000340,ACC-000188,10150.59,2026-08-26 03:46:55,2
TXN-0000030,CMP-000011,ACC-000188,ACC-000129,9868.85,2026-08-26 07:29:55,3
TXN-0000031,CMP-000012,ACC-000748,ACC-000994,6969.58,2026-06-05 13:07:06,1
TXN-0000032,CMP-000012,ACC-000994,ACC-000176,6455.13,2026-06-05 13:25:06,2
TXN-0000033,CMP-000013,ACC-000423,ACC-000064,47367.09,2026-08-22 22:09:53,1
