withdrawal_id,complaint_id,account_id,atm_id,amount,withdrawn_at
WD-000001,CMP-000001,ACC-000110,ATM-00059,2638.55,2026-06-27 22:18:53
WD-000002,CMP-000002,ACC-000030,ATM-00145,4720.97,2026-08-11 05:09:39
WD-000003,CMP-000003,ACC-000160,ATM-00046,2131.2,2026-06-04 03:39:09
WD-000004,CMP-000004,ACC-000007,ATM-00174,9810.95,2026-07-25 15:46:08
WD-000008,CMP-000008,ACC-000079,ATM-00027,10238.64,2026-07-07 23:52:53
WD-000009,CMP-000009,ACC-000113,ATM-00067,16757.98,2026-08-18 04:46:54
WD-000010,CMP-000010,ACC-000187,ATM-00001,1643.7,2026-07-08 02:54:44
WD-000012,CMP-000012,ACC-000176,ATM-00050,6455.13,2026-06-05 13:39:06
WD-000013,CMP-000013,ACC-000012,ATM-00064,39495.04,2026-08-23 09:10:53
WD-000014,CMP-000014,ACC-000115,ATM-00021,966.12,2026-08-01 18:53:19
WD-000016,CMP-000017,ACC-000171,ATM-00244,7957.2,2026-06-25 03:11:26
WD-000017,CMP-000018,ACC-000191,ATM-00183,1579.0,2026-08-02 01:49:39
WD-000018,CMP-000019,ACC-000189,ATM-00038,895.31,2026-08-15 00:20:25
WD-000019,CMP-000020,ACC-000289,ATM-00140,450.09,2026-07-01 20:56:55
WD-000020,CMP-000021,ACC-001186,ATM-00057,3414.57,2026-07-25 16:34:19
WD-000022,CMP-000023,ACC-000069,ATM-00327,1436.03,2026-06-15 00:55:08
WD-000023,CMP-000024,ACC-000207,ATM-00012,2781.58,2026-07-28 03:19:14
WD-000024,CMP-000025,ACC-000275,ATM-00110,16130.57,2026-06-14 16:10:58
WD-000025,CMP-000026,ACC-000812,ATM-00066,542.38,2026-06-11 14:37:27
WD-000027,CMP-000028,ACC-000136,ATM-00003,7201.76,2026-07-21 23:41:08
WD-000028,CMP-000029,ACC-000125,ATM-00064,15346.35,2026-08-06 13:45:06
WD-000030,CMP-000031,ACC-000043,ATM-00396,6455.94,2026-06-16 16:34:51
WD-000032,CMP-000034,ACC-000077,ATM-00034,7093.69,2026-08-01 11:12:24
